source,reliability,bias
Milwaukee Journal Sentinel,46.95,-7.7
MintPress News,36.05,-15.0
Montana Free Press,46.56,-3.04
Morning Joe,38.4,-10.0
Mother Jones,39.25,-15.48
MSN,35.87,-12.24
MSNBC,37.18,-13.7
National Catholic Register,39.1,8.55
National Enquirer,11.69,6.43
National File,18.08,22.01
National Review,32.48,14.38
Natural News,7.86,31.21
Nature,45.96,-1.08
NBC News,45.66,-7.35
NBC Nightly News with Lester Holt,49.56,-5.94
New Republic,34.18,-18.9
New Statesman,40.13,-7.33
New York Daily News,41.43,-7.72
New York Magazine,42.02,-9.41
New York Post,33.78,12.34
New York Sun,31.1,13.11
News and Guts,36.5,-12.9
NewsBusters,29.17,21.59
Newsday,47.69,-3.35
Newser,43.85,-5.87
Newsmax,28.22,16.53
NewsNation Now,44.57,0.33
NewsOne,35.48,-13.33
NewsPunch,19.21,24.06
Newsweek,37.75,-5.78
Newsy,47.54,-3.19
NJ.com,46.54,-1.97
No Lie with Brian Tyler Cohen,33.67,-19.47
NOLA.com,48.15,-2.0
NowThis News,41.25,-8.19
NPR,46.18,-4.55
NPR News Now,51.56,-0.22
OAN Network,25.3,16.56
Observer,46.09,-5.8
Occupy Democrats,24.24,-22.89
Omaha World-Herald,47.14,-0.45
Orlando Sentinel,45.8,-7.36
Outnumbered,21.43,26.63
OZY,40.56,-7.4
Palmer Report,17.55,-26.0
Patch,48.29,-5.08
PBS,48.74,-4.84
PBS Newshour,46.0,-5.17
Pittsburgh Post-Gazette,48.17,-0.55
PJ Media,23.02,23.07
Planet Money,45.11,-0.78
Pod is a Woman,42.33,-12.0
Pod Save America,29.56,-25.25
Pod Save the World,34.67,-18.87
Politico,43.37,-6.64
PoliticsNation with Al Sharpton,30.67,-20.53
Politicus USA,31.57,-16.09
Politifact,45.22,-3.26
Popsugar,35.65,-12.15
Popular Information,40.25,-14.96
Poynter,41.01,-7.94
PragerU,23.13,18.71
ProPublica,47.46,-6.93
Quartz,44.53,-5.37
Quillette,37.64,9.56
Radio Times,39.73,0.0
Rasmussen Reports,41.57,12.8
Raw Story,32.51,-17.31
Real News Network,36.79,-17.53
RealClear Politics,33.98,15.18
Reason,36.98,7.79
RedState,22.08,22.79
Reliable Sources,32.62,-14.97
Reuters,48.79,-1.53
Right Wing Watch,27.61,-18.27
Roll Call,46.31,-3.27
Rolling Stone,33.04,-13.22
Rough Translation,42.67,-9.19
RT,30.62,12.03
Rudy Giuliani’s Common Sense,37.22,13.78
Sacramento Bee,45.03,-8.71
Salon,33.82,-18.11
Salt Lake Tribune,46.89,-2.45
San Diego Union-Tribune,47.96,-0.86
San Francisco Chronicle,45.06,-6.31
Seattle Times,48.04,-3.17
SeattlePI,45.12,-3.04
Second Nexus,25.51,-19.7
SF Examiner,44.09,-4.11
SFGate,45.78,-1.68
Shadowproof,35.5,-23.23
Sky News,0.0,0.0
Slate,37.38,-15.05
SmartLess,35.5,-15.97
Smerconish,36.6,-1.33
Smithsonian Magazine,45.53,-3.77
Snopes,45.2,-2.06
Sojourners,38.88,-12.58
South China Morning Post,41.9,-3.5
Special Report w/Bret Baier,44.42,8.47
Spicer & Co.,20.71,21.13
Sputnik International News,36.59,8.78
St. Louis Post-Dispatch,44.44,-8.96
Star Tribune-Minneapolis,46.43,-3.83
Stars and Stripes,49.37,0.43
Start Here,48.22,-1.78
State of the Union with Jake Tapper and Dana Bash,39.89,-8.33
Stephanie Ruhle Reports,37.33,-11.11
Stuff You Should Know,40.89,-0.22
